released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,mode
22,166,40,23,48,5,12,3,Minor
22,107,87,20,83,0,31,9,Major
9,87,87,52,52,31,28,24,Major
5,82,40,39,64,21,7,7,Major
9,114,46,60,28,91,21,4,Minor
4,148,47,15,52,38,29,5,Major
20,140,91,97,57,38,40,29,Major
3,101,90,76,81,15,33,6,Major
17,140,81,6,84,5,6,6,Minor
2,88,49,24,66,19,18,29,Minor
4,180,64,44,65,28,14,12,Major
12,133,95,91,89,6,31,24,Major
16,108,63,20,55,72,6,6,Minor
5,80,39,24,43,39,23,3,Minor
11,75,80,46,62,3,11,46,Minor
30,121,67,26,64,52,17,10,Minor
28,140,58,17,62,18,20,8,Minor
3,126,81,59,90,5,36,3,Minor
12,102,58,29,94,0,9,11,Major
8,82,70,31,34,60,11,4,Major
24,121,46,53,78,23,72,6,Minor
27,103,70,92,83,1,7,6,Minor
25,108,82,88,76,9,12,9,Minor
14,85,65,36,47,31,12,10,Minor
14,125,84,70,69,1,5,5,Minor
21,120,69,40,39,41,13,6,Major
17,94,58,44,57,57,10,3,Major
1,130,65,49,80,22,7,5,Minor
1,110,74,51,74,2,29,4,Major
28,150,34,33,63,16,7,4,Major
1,107,74,88,65,28,46,3,Minor
1,140,70,85,41,71,45,5,Major
1,119,74,78,37,84,6,3,Major
14,93,35,38,23,91,29,3,Major
13,133,46,53,63,5,30,18,Major
14,202,24,76,60,77,12,4,Major
16,134,45,72,24,91,18,4,Major
1,105,72,33,51,48,9,3,Major
25,160,51,69,81,0,21,5,Major
1,148,50,96,82,47,34,4,Major
14,151,65,70,47,87,9,4,Major
1,162,67,88,54,51,9,4,Minor
22,92,53,84,77,40,32,3,Major
9,152,65,35,65,44,21,7,Major
9,65,71,55,26,85,13,8,Minor
1,147,33,39,61,32,77,3,Major
8,150,73,71,69,53,32,9,Minor
1,140,67,81,36,64,15,3,Major
1,139,36,22,15,84,11,4,Major
16,95,75,74,58,36,9,3,Major
25,115,60,23,57,0,27,3,Major
9,125,62,59,43,84,11,5,Major
9,76,60,19,20,78,11,5,Major
1,101,72,91,87,14,13,3,Minor
1,143,60,86,32,88,34,6,Major
9,119,51,51,66,67,9,23,Minor
8,78,67,22,59,76,15,16,Major
1,96,23,19,25,91,40,3,Major
1,180,51,87,58,36,18,4,Major
22,126,34,35,76,39,8,5,Major
9,150,43,42,44,57,15,6,Major
9,90,53,47,74,9,34,4,Major
9,160,72,78,68,28,11,12,Major
