X,Y,mode,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
34.61108394211285,-3.32200675882112,Major,21,129,61,59,46,56,13,5
-24.095125347297497,23.98643507918893,Major,18,102,74,45,89,5,26,13
-46.2506909074672,-3.818525870864847,Minor,13,124,79,79,84,2,5,5
63.3269102401619,41.34788612875082,Minor,20,90,73,31,45,85,11,3
15.337431348634746,-49.17403172323476,Minor,14,161,78,65,52,46,12,31
85.94312626904016,11.143394941529747,Major,30,120,60,11,33,90,8,5
14.795575855119608,66.45029329253282,Major,28,81,45,12,57,7,23,3
-4.954193671785058,-28.571544325226444,Minor,1,150,78,47,70,18,15,9
-26.252789436452247,16.685283016342268,Major,2,105,76,58,84,10,13,10
-17.335245004091796,53.73772592794369,Major,10,79,63,76,67,38,6,4
54.100853018410206,-23.603865758245338,Minor,4,146,52,7,61,51,11,3
75.97511937626263,5.995667873837419,Major,17,124,64,8,37,79,9,5
-36.05574420609895,-10.567872132717028,Major,1,126,53,66,85,2,24,4
-20.27604316877084,0.8862391934943501,Major,6,121,75,53,74,2,11,5
-1.2687295817688948,-21.388940834359264,Minor,3,136,80,33,60,0,32,14
37.43645345799042,27.098878457018497,Minor,25,102,77,26,63,58,11,5
-20.224864917603448,55.69317711247481,Major,27,77,73,54,74,23,41,23
36.59843390876375,33.66350402970965,Minor,10,98,82,54,59,69,18,10
34.61771995561468,52.07147497565306,Minor,15,84,44,22,48,38,33,24
-49.73722065979127,19.997136403045676,Major,28,102,89,77,82,3,17,11
85.75299572482265,9.641111365602436,Major,1,120,42,33,26,92,13,3
-47.17084323721127,0.6926674629863454,Major,10,117,52,73,91,0,11,7
70.61061944360905,57.85181488347873,Minor,7,72,45,27,33,82,14,4
16.14655201551244,-57.49797834278622,Major,3,168,67,29,47,5,22,26
-26.39825370450066,33.97026182494089,Major,11,94,52,68,69,13,33,8
-36.98562835340639,-38.43789327932054,Major,10,145,41,65,88,0,26,5
23.68803686932334,-31.88146609847809,Major,27,134,71,14,61,1,23,33
8.486628268380679,-59.12635878036571,Major,23,148,35,24,93,0,10,8
-48.31349969032247,-24.465165733517416,Minor,10,127,60,40,89,9,60,6
-30.693158162636287,-56.24958457943078,Minor,24,172,74,79,66,11,8,16
20.156079504824056,47.55037446413672,Major,7,90,75,19,46,21,34,8
32.58881541177188,33.521918609865466,Major,27,96,57,30,40,38,26,3
1.3253814372944503,-20.487512288155624,Minor,10,138,74,65,67,46,36,4
-32.291654375505814,1.213071296440758,Major,28,120,72,67,72,0,13,4
-31.634878964044898,-5.499554629552197,Major,9,125,70,65,74,1,34,4
-50.59091130099304,-2.87293484415086,Major,15,123,82,80,86,1,30,13
14.042613897532172,47.994026667333046,Major,9,81,79,44,54,41,13,24
18.663600913361115,-70.79817365907743,Major,26,171,55,10,85,7,8,20
61.470900315198826,46.37460946985896,Major,20,91,77,60,32,84,8,5
-24.110754128195456,41.03156077967314,Minor,12,84,56,61,76,10,14,11
-35.18559680903972,9.93823090990456,Minor,7,115,90,74,54,16,13,28
-54.73439254064952,-8.906277354383704,Major,29,125,69,70,89,4,49,3
-12.29553533123405,1.473977094986959,Minor,14,122,80,62,69,28,13,7
-51.8155249632718,37.90463803497706,Major,29,92,85,92,54,16,29,7
-32.092619849184565,32.756803418156274,Minor,18,90,63,75,75,17,11,8
-51.04736300552528,28.12519880348195,Minor,10,94,84,90,70,9,14,8
-18.73889901159457,35.651966139337766,Major,1,93,81,53,78,18,6,24
2.9626513200276103,-9.803661316303984,Minor,11,130,51,50,76,30,10,7
30.01167910540776,-67.2542570106322,Minor,11,180,35,23,61,23,19,6
81.92068010453679,-3.414728462362102,Major,11,134,53,31,31,92,28,3
-29.790297331280616,51.84069307421813,Minor,1,95,92,31,89,3,8,25
-37.58370719379598,-73.2058370379008,Major,19,184,69,91,63,11,9,31
-15.003323198972277,-44.31602169660341,Minor,11,147,47,50,80,10,32,38
20.929230697657804,0.6708834350118112,Major,2,123,52,44,60,40,26,3
-18.067273325115792,-1.0171492173172827,Minor,1,123,91,49,61,3,17,22
-43.03209515429613,45.94091544222604,Minor,1,90,90,79,71,26,7,37
-20.941738923023248,-44.94495043266015,Minor,4,160,61,65,64,1,12,4
-3.146755409963637,12.407324199349992,Major,16,115,60,37,71,8,48,4
26.89547005014916,-43.09252281856107,Major,4,141,37,17,67,2,34,9
10.163491551205874,-63.79263608523202,Major,5,160,31,30,88,7,8,8
12.70865223361725,-32.672628562721684,Major,4,145,57,23,66,4,15,4
17.432830859820633,45.19823043149064,Minor,21,89,46,43,43,23,8,22
-19.37363746935192,29.58719300954265,Minor,24,95,84,49,72,8,15,8
-6.952030045753399,-47.10629180138896,Major,10,160,60,47,62,3,38,4
-12.814824554612324,-66.25664031993057,Minor,14,174,67,74,75,44,7,30
-52.36295233375732,31.344557154379967,Major,28,92,77,76,84,3,38,4
-28.54662306936173,-13.565108751175147,Major,1,134,93,61,74,9,17,8
22.405237107023343,-83.83976092742819,Minor,19,172,31,4,86,1,28,17
-51.80460482725784,44.713761263833696,Major,17,80,76,92,62,6,8,13
-12.939762218025312,-39.3104616575688,Minor,30,150,91,42,60,0,9,12
-33.30272616543296,52.688455046503805,Minor,21,80,78,53,74,4,45,21
-42.27193322303727,-52.70110876484135,Minor,16,166,81,83,75,14,29,34
36.82656316504756,5.780122690035052,Major,4,120,67,8,54,27,8,4
-52.927955052753866,31.84754218156152,Major,29,92,86,89,79,17,11,6
-5.591241527264313,44.98781209596207,Minor,28,85,74,61,52,30,26,9
38.313565420567706,-49.91136209351069,Minor,15,154,79,86,52,66,9,7
1.8935060032205555,33.09867636141116,Minor,22,92,73,37,74,28,14,6
-37.29328781597975,-20.40481869523619,Major,11,140,89,75,70,6,13,5
-20.20410698129159,46.93272703671255,Major,11,89,65,60,60,11,10,40
-55.08067134515554,-15.953728833733171,Minor,28,135,89,89,86,16,8,5
39.123287603566254,-19.851977122950327,Minor,19,140,51,66,53,60,11,18
-12.135968214625615,51.83001034725176,Major,24,82,47,44,76,8,9,3
17.074514999129743,54.004462769921616,Major,1,79,78,58,45,47,18,3
37.192186446055445,47.18412577048236,Major,4,88,31,31,63,47,21,12
69.5189404394538,-10.827982176192249,Major,24,139,44,18,38,70,12,4
-86.59603197706613,-15.063784559458345,Minor,14,124,73,68,83,55,90,7
